system:index,count,hotspot,.geo
+15913+66222,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.064651071618384,41.88307761273437]}"
+15913+66255,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.064651071618384,41.9039487903737]}"
+15915+66260,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.065915991475313,41.907111090016016]}"
+15916+66265,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.066548451403776,41.910273389658336]}"
+15917+66224,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06718091133224,41.8843425325913]}"
+15917+66254,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.066970091356085,41.90310551046908]}"
+15917+66257,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06718091133224,41.90489748026639]}"
+15919+66213,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06844583118917,41.87738547337819]}"
+15919+66246,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06844583118917,41.89825665101751]}"
+15919+66252,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06844583118917,41.9020514105883]}"
+15920+66216,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06844583118917,41.87928285316358]}"
+15921+66257,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.069710751046099,41.905213710230626]}"
+15922+66239,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.070343210974563,41.89382943151826]}"
+15922+66247,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.070343210974563,41.89888911094598]}"
+15924+65751,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.071608130831493,41.58518898642763]}"
+15924+65757,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.071608130831493,41.58898374599842]}"
+15925+65748,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.072240590759955,41.58329160664224]}"
